alert_action,alert_category,alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_alerted,flow_end,flow_id,flow_reason,flow_start,flow_state,flowbits,http_content_type,http_host,http_length,http_method,http_status,http_url,http_user_agent,in_iface,pkts_toclient,pkts_toserver,proto,src_ip,src_port,tcp_ack,tcp_fin,tcp_flags,tcp_flags_tc,tcp_flags_ts,tcp_psh,tcp_state,tcp_syn,timestamp
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,76877,999,192.168.100.4,80,flow,0,True,2025-06-28T07:33:05.466616+0700,1247605191453470,timeout,2025-06-28T07:33:05.371486+0700,closed,slowread_detected,text/html,192.168.100.4,72663,GET,200,/2025/06/05/hello-world/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,57,13,TCP,192.168.100.6,60932,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:35:34.442461+0700
,,,,,http,77009,1395,192.168.100.4,80,flow,0,True,2025-06-28T07:28:13.795692+0700,2145118045726092,timeout,2025-06-28T07:28:13.714124+0700,closed,slowread_detected,,,,,,,,enp0s3,59,19,TCP,192.168.100.6,56650,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:33:05.582423+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,77381,1185,192.168.100.4,80,flow,0,True,2025-06-28T07:33:06.645709+0700,709976217757754,timeout,2025-06-28T07:33:06.534586+0700,closed,slowread_detected,text/html,192.168.100.4,73167,GET,200,/2025/06/05/what-is-a-slow-read-attack-understanding-this-sneaky-cyber-threat/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,57,15,TCP,192.168.100.6,60938,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:36:17.157912+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75001,1048,192.168.100.4,80,flow,0,True,2025-06-28T07:33:07.511353+0700,2091211930418609,timeout,2025-06-28T07:33:07.409009+0700,closed,slowread_detected,text/html,192.168.100.4,71051,GET,200,/2025/06/05/how-to-detect-and-mitigate-slow-read-attacks-on-your-website/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,53,13,TCP,192.168.100.6,60952,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:35:33.107555+0700
,,,,,http,77009,1461,192.168.100.4,80,flow,0,True,2025-06-28T07:29:28.098175+0700,458256760198780,timeout,2025-06-28T07:29:28.022140+0700,closed,slowread_detected,,,,,,,,enp0s3,59,20,TCP,192.168.100.6,47388,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:33:08.249758+0700
,,,,,http,74660,1380,192.168.100.4,80,flow,0,True,2025-06-28T07:28:11.370284+0700,458722759109143,timeout,2025-06-28T07:28:11.289303+0700,closed,slowread_detected,,,,,,,,enp0s3,55,18,TCP,192.168.100.6,56636,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:33:09.584868+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74654,1512,192.168.100.4,80,flow,0,True,2025-06-28T07:33:10.367491+0700,709151584342097,timeout,2025-06-28T07:33:10.249937+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,55,20,TCP,192.168.100.6,60964,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:36:16.490929+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,77447,1581,192.168.100.4,80,flow,0,True,2025-06-28T07:33:12.232322+0700,1399069361053318,timeout,2025-06-28T07:33:12.138886+0700,closed,slowread_detected,text/html,192.168.100.4,73167,GET,200,/2025/06/05/what-is-a-slow-read-attack-understanding-this-sneaky-cyber-threat/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,58,21,TCP,192.168.100.6,60712,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:35:52.469475+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,141755,1906,192.168.100.4,80,flow,18,True,2025-06-28T07:33:30.684117+0700,816089827656291,timeout,2025-06-28T07:33:12.475747+0700,closed,slowread_detected,text/html,192.168.100.4,72662,GET,200,/2025/06/05/hello-world/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,102,25,TCP,192.168.100.6,60720,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:35:18.432076+0700
,,,,,http,76745,999,192.168.100.4,80,flow,0,True,2025-06-28T07:28:19.781574+0700,1307118387056870,timeout,2025-06-28T07:28:19.708838+0700,closed,slowread_detected,,,,,,,,enp0s3,55,13,TCP,192.168.100.6,56670,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:33:16.256839+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74522,984,192.168.100.4,80,flow,0,True,2025-06-28T07:33:16.703820+0700,208568851428073,timeout,2025-06-28T07:33:16.652009+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,53,12,TCP,192.168.100.6,60722,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:38:02.014546+0700
