alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_id,flow_state,http_host,http_length,http_method,http_status,http_url,http_user_agent,pkts_toclient,pkts_toserver,proto,src_ip,src_port,timestamp
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,6,779710754304016,closed,192.168.100.4,1550,GET,200,/?id=290&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,44774,2025-06-02T18:45:36.024811+0700
3,HTTP GET Request Detected,1000002,http,2149,624,192.168.100.4,80,flow,5,1540048815075563,closed,192.168.100.4,1550,GET,200,/?id=68&q=home,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,60326,2025-06-02T18:46:04.059674+0700
3,HTTP GET Request Detected,1000002,http,2149,629,192.168.100.4,80,flow,5,512245961615401,closed,192.168.100.4,1550,GET,200,/?id=107&q=services,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,60340,2025-06-02T18:46:00.051903+0700
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,6,221674244523323,closed,192.168.100.4,1550,GET,200,/?id=886&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,56922,2025-06-02T18:48:36.387031+0700
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,4,904625584580337,closed,192.168.100.4,1550,GET,200,/?id=177&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,56930,2025-06-02T18:48:00.360692+0700
,,,,0,62,ff02:0000:0000:0000:0000:0000:0000:0002,,flow,0,783640645558512,new,,,,,,,0,1,IPv6-ICMP,fe80:0000:0000:0000:24f3:e4cf:d05f:6115,,2025-06-02T18:44:34.190576+0700
3,HTTP GET Request Detected,1000002,http,2149,625,192.168.100.4,80,flow,5,1722846919482605,closed,192.168.100.4,1550,GET,200,/?id=830&q=home,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,56598,2025-06-02T18:47:15.499874+0700
3,HTTP GET Request Detected,1000002,http,2149,636,192.168.100.4,80,flow,4,1895753713225420,closed,192.168.100.4,1550,GET,200,/?id=656&q=about,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,56604,2025-06-02T18:49:19.111312+0700
3,HTTP GET Request Detected,1000002,http,2149,626,192.168.100.4,80,flow,4,129761945611215,closed,192.168.100.4,1550,GET,200,/?id=622&q=about,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,39568,2025-06-02T18:47:08.134804+0700
3,HTTP GET Request Detected,1000002,http,2149,625,192.168.100.4,80,flow,6,338140874172454,closed,192.168.100.4,1550,GET,200,/?id=699&q=home,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,39582,2025-06-02T18:49:03.100593+0700
3,HTTP GET Request Detected,1000002,http,2149,642,192.168.100.4,80,flow,6,164658555519979,closed,192.168.100.4,1550,GET,200,/?id=836&q=about,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,33114,2025-06-02T18:46:58.126955+0700
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,5,600803894907404,closed,192.168.100.4,1550,GET,200,/?id=754&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,33120,2025-06-02T18:47:22.183622+0700
3,HTTP GET Request Detected,1000002,http,2149,641,192.168.100.4,80,flow,4,1028260515413644,closed,192.168.100.4,1550,GET,200,/?id=311&q=home,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,38696,2025-06-02T18:47:31.666468+0700
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,5,161626309598341,closed,192.168.100.4,1550,GET,200,/?id=149&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,38710,2025-06-02T18:46:53.453875+0700
